Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.1479,-0.1493,0.8916,-1.1200,-254.3800,16.8000
0.2250,-0.1249,0.8032,6.0900,-245.7700,12.8800
0.3001,-0.0932,0.7496,2.1700,-229.6000,9.2400
0.3333,-0.0664,0.7281,-11.9000,-213.5700,6.5800
0.4046,-0.0488,0.7471,-19.2500,-195.5800,4.0600
0.4529,0.0346,0.8150,-17.7800,-184.1000,4.6200
0.4382,0.0020,0.8799,-18.8300,-174.0900,3.6400
0.4416,-0.0991,0.9828,-5.7400,-169.6100,-2.8000
0.4002,-0.1020,0.9238,12.6000,-165.9000,-7.0700
0.4568,-0.0420,0.8052,18.0600,-156.3100,-11.2000
0.5353,-0.0493,0.6134,17.6400,-138.3200,-13.8600
0.5402,-0.0639,0.5080,17.8500,-118.9300,-16.9400
0.5558,-0.0742,0.5002,16.9400,-96.3200,-16.0300
0.5622,-0.0137,0.5544,11.2700,-80.8500,-14.0700
0.5939,0.0205,0.6232,-2.7300,-65.0300,-9.6600
0.6022,0.0512,0.6808,-9.8700,-51.1700,-7.1400
0.5954,0.0434,0.7359,-28.0700,-43.3300,-3.2200
0.6022,0.0493,0.7945,-26.7400,-32.6200,-0.9800
0.5812,-0.0142,0.6978,-12.6000,-22.7500,1.1900
0.5690,0.0107,0.6495,-9.0300,-5.9500,3.4300
0.5758,0.0151,0.6583,2.4500,8.3300,5.9500
0.6134,0.0093,0.5480,-1.0500,31.2900,8.2600
0.6364,-0.0586,0.4787,-11.6200,53.6900,8.2600
0.6061,-0.1103,0.4465,-17.2200,84.2800,6.7900
0.5583,-0.0830,0.4719,-18.0600,109.2700,5.4600
0.5544,-0.0566,0.5392,-20.3700,138.6700,4.2000
0.4943,-0.0249,0.5695,-24.3600,159.6700,2.1700
0.4699,-0.0146,0.6207,-14.8400,183.6800,2.8000
0.4831,-0.0083,0.6227,-3.7100,202.5100,5.7400
0.4880,-0.0298,0.6095,3.6400,227.7100,11.3400
0.4690,-0.0766,0.5915,11.2000,253.7500,15.4000
0.4255,-0.0874,0.6212,16.4500,274.4700,20.0900
0.3811,-0.0800,0.7208,12.6700,297.5700,21.0700
0.2977,-0.0947,0.8174,5.2500,311.7100,19.9500
0.1962,-0.0815,0.8945,-3.1500,321.7900,20.6500
0.0703,-0.1498,0.9902,-0.6300,325.6400,20.3000
0.0122,-0.1815,1.0497,7.1400,327.3900,18.6200
-0.0034,-0.1562,0.9858,5.1100,329.2100,18.2700
-0.1274,-0.1923,0.9570,5.2500,330.1200,15.7500
-0.1542,-0.2323,0.9033,3.1500,331.3800,11.9700
-0.2298,-0.2157,0.8525,0.0700,327.6700,10.0800
-0.2445,-0.1903,1.0019,14.3500,318.9900,9.5900
-0.3919,-0.1928,1.0092,16.3800,305.9000,7.5600
-0.4846,-0.0981,1.0350,26.7400,290.9200,6.7200
-0.5187,-0.0137,1.0756,50.0500,265.7900,5.3900
-0.5090,0.0561,1.0189,58.1700,248.5000,2.7300
-0.5588,-0.0307,0.9492,52.7800,236.1100,-2.7300
-0.6056,-0.1137,0.9155,41.8600,227.4300,-10.0800
-0.6456,-0.1108,0.8642,22.5400,223.0200,-19.1800
-0.7203,-0.0932,0.8784,9.3100,216.5800,-24.2900
-0.7486,-0.0805,0.8682,1.4000,209.0200,-28.9800
-0.7418,-0.0766,0.8198,2.4500,195.0900,-32.2000
